Sentence,LenFacScore,Score,GoodBad,Filename,pair_id,field,linguistics_term,Grammar,good_score,bad_score,correct_pair
what did n't Name figure out she did n't have *T* ?,-31.77913392863714,-381.3496071436457,good,wh_island,166,syntax,island_effects,trigram1,-31.77913392863714,-32.06741989685691,TRUE
what did n't Name figure out who did n't have *T* ?,-32.06741989685691,-384.80903876228297,bad,wh_island,166,syntax,island_effects,trigram1,-31.77913392863714,-32.06741989685691,TRUE
what did n't Name figure out she did n't have *T* ?,-31.885166917122664,-382.622003005472,good,wh_island,166,syntax,island_effects,trigram10,-31.885166917122664,-32.13516691712267,TRUE
what did n't Name figure out who did n't have *T* ?,-32.13516691712267,-385.622003005472,bad,wh_island,166,syntax,island_effects,trigram10,-31.885166917122664,-32.13516691712267,TRUE
what did n't Name figure out she did n't have *T* ?,-31.801697017006536,-381.62036420407844,good,wh_island,166,syntax,island_effects,trigram2,-31.801697017006536,-32.0171105587333,TRUE
what did n't Name figure out who did n't have *T* ?,-32.0171105587333,-384.20532670479963,bad,wh_island,166,syntax,island_effects,trigram2,-31.801697017006536,-32.0171105587333,TRUE
what did n't Name figure out she did n't have *T* ?,-31.92984645575808,-383.1581574690969,good,wh_island,166,syntax,island_effects,trigram3,-31.92984645575808,-32.218132423977856,TRUE
what did n't Name figure out who did n't have *T* ?,-32.218132423977856,-386.61758908773425,bad,wh_island,166,syntax,island_effects,trigram3,-31.92984645575808,-32.218132423977856,TRUE
what did n't Name figure out she did n't have *T* ?,-31.80312031470845,-381.63744377650147,good,wh_island,166,syntax,island_effects,trigram4,-31.80312031470845,-31.996614322615734,TRUE
what did n't Name figure out who did n't have *T* ?,-31.996614322615734,-383.95937187138884,bad,wh_island,166,syntax,island_effects,trigram4,-31.80312031470845,-31.996614322615734,TRUE
what did n't Name figure out she did n't have *T* ?,-31.80650014091145,-381.6780016909374,good,wh_island,166,syntax,island_effects,trigram5,-31.80650014091145,-32.09478610913123,TRUE
what did n't Name figure out who did n't have *T* ?,-32.09478610913123,-385.1374333095747,bad,wh_island,166,syntax,island_effects,trigram5,-31.80650014091145,-32.09478610913123,TRUE
what did n't Name figure out she did n't have *T* ?,-31.845778448523955,-382.14934138228745,good,wh_island,166,syntax,island_effects,trigram6,-31.845778448523955,-32.079724692028755,TRUE
what did n't Name figure out who did n't have *T* ?,-32.079724692028755,-384.95669630434503,bad,wh_island,166,syntax,island_effects,trigram6,-31.845778448523955,-32.079724692028755,TRUE
what did n't Name figure out she did n't have *T* ?,-31.847904026713945,-382.1748483205673,good,wh_island,166,syntax,island_effects,trigram7,-31.847904026713945,-32.06331756844071,TRUE
what did n't Name figure out who did n't have *T* ?,-32.06331756844071,-384.7598108212885,bad,wh_island,166,syntax,island_effects,trigram7,-31.847904026713945,-32.06331756844071,TRUE
what did n't Name figure out she did n't have *T* ?,-31.841244487734297,-382.09493385281155,good,wh_island,166,syntax,island_effects,trigram8,-31.841244487734297,-32.09124448773429,TRUE
what did n't Name figure out who did n't have *T* ?,-32.09124448773429,-385.09493385281155,bad,wh_island,166,syntax,island_effects,trigram8,-31.841244487734297,-32.09124448773429,TRUE
what did n't Name figure out she did n't have *T* ?,-31.970835472083333,-383.650025665,good,wh_island,166,syntax,island_effects,trigram9,-31.970835472083333,-32.22083547208333,TRUE
what did n't Name figure out who did n't have *T* ?,-32.22083547208333,-386.650025665,bad,wh_island,166,syntax,island_effects,trigram9,-31.970835472083333,-32.22083547208333,TRUE
what do those children know who were n't running around *T* ?,-32.70751183294387,-392.49014199532644,bad,wh_island,178,syntax,island_effects,trigram1,-32.57543162455045,-32.70751183294387,TRUE
what do those children know they were n't running around *T* ?,-32.57543162455045,-390.90517949460536,good,wh_island,178,syntax,island_effects,trigram1,-32.57543162455045,-32.70751183294387,TRUE
what do those children know who were n't running around *T* ?,-32.719595784514404,-392.6351494141729,bad,wh_island,178,syntax,island_effects,trigram10,-32.636262451181075,-32.719595784514404,TRUE
what do those children know they were n't running around *T* ?,-32.636262451181075,-391.6351494141729,good,wh_island,178,syntax,island_effects,trigram10,-32.636262451181075,-32.719595784514404,TRUE
what do those children know who were n't running around *T* ?,-32.63614278185716,-391.6337133822859,bad,wh_island,178,syntax,island_effects,trigram2,-32.50406257346373,-32.63614278185716,TRUE
what do those children know they were n't running around *T* ?,-32.50406257346373,-390.04875088156473,good,wh_island,178,syntax,island_effects,trigram2,-32.50406257346373,-32.63614278185716,TRUE
what do those children know who were n't running around *T* ?,-32.74294907597739,-392.9153889117287,bad,wh_island,178,syntax,island_effects,trigram3,-32.74294907597739,-32.74294907597739,FALSE
what do those children know they were n't running around *T* ?,-32.74294907597739,-392.9153889117287,good,wh_island,178,syntax,island_effects,trigram3,-32.74294907597739,-32.74294907597739,FALSE
