Sentence,LenFacScore,Score,GoodBad,Filename,pair_id,field,linguistics_term,Grammar,good_score,bad_score,correct_pair
Name knows that that child that was n't talking about Name should bike to *T* .,-33.568149566303184,-537.0903930608509,bad,wh_vs_that_with_gap_long_distance,112,syntax,filler_gap_dependency,trigram1,-33.568149566303184,-33.568149566303184,FALSE
Name knows what that child that was n't talking about Name should bike to *T* .,-33.568149566303184,-537.0903930608509,good,wh_vs_that_with_gap_long_distance,112,syntax,filler_gap_dependency,trigram1,-33.568149566303184,-33.568149566303184,FALSE
Name knows that that child that was n't talking about Name should bike to *T* .,-33.53632437632473,-536.5811900211957,bad,wh_vs_that_with_gap_long_distance,112,syntax,filler_gap_dependency,trigram10,-33.53632437632473,-33.53632437632473,FALSE
Name knows what that child that was n't talking about Name should bike to *T* .,-33.53632437632473,-536.5811900211957,good,wh_vs_that_with_gap_long_distance,112,syntax,filler_gap_dependency,trigram10,-33.53632437632473,-33.53632437632473,FALSE
Name knows that that child that was n't talking about Name should bike to *T* .,-33.5197912983561,-536.3166607736975,bad,wh_vs_that_with_gap_long_distance,112,syntax,filler_gap_dependency,trigram2,-33.5197912983561,-33.5197912983561,FALSE
Name knows what that child that was n't talking about Name should bike to *T* .,-33.5197912983561,-536.3166607736975,good,wh_vs_that_with_gap_long_distance,112,syntax,filler_gap_dependency,trigram2,-33.5197912983561,-33.5197912983561,FALSE
Name knows that that child that was n't talking about Name should bike to *T* .,-33.48867716770632,-535.8188346833011,bad,wh_vs_that_with_gap_long_distance,112,syntax,filler_gap_dependency,trigram3,-33.48867716770632,-33.48867716770632,FALSE
Name knows what that child that was n't talking about Name should bike to *T* .,-33.48867716770632,-535.8188346833011,good,wh_vs_that_with_gap_long_distance,112,syntax,filler_gap_dependency,trigram3,-33.48867716770632,-33.48867716770632,FALSE
Name knows that that child that was n't talking about Name should bike to *T* .,-33.47122945306898,-535.5396712491037,bad,wh_vs_that_with_gap_long_distance,112,syntax,filler_gap_dependency,trigram4,-33.47122945306898,-33.47122945306898,FALSE
Name knows what that child that was n't talking about Name should bike to *T* .,-33.47122945306898,-535.5396712491037,good,wh_vs_that_with_gap_long_distance,112,syntax,filler_gap_dependency,trigram4,-33.47122945306898,-33.47122945306898,FALSE
Name knows that that child that was n't talking about Name should bike to *T* .,-33.49217435941899,-535.8747897507038,bad,wh_vs_that_with_gap_long_distance,112,syntax,filler_gap_dependency,trigram5,-33.49217435941899,-33.49217435941899,FALSE
Name knows what that child that was n't talking about Name should bike to *T* .,-33.49217435941899,-535.8747897507038,good,wh_vs_that_with_gap_long_distance,112,syntax,filler_gap_dependency,trigram5,-33.49217435941899,-33.49217435941899,FALSE
Name knows that that child that was n't talking about Name should bike to *T* .,-33.43362298930015,-534.9379678288024,bad,wh_vs_that_with_gap_long_distance,112,syntax,filler_gap_dependency,trigram6,-33.43362298930015,-33.43362298930015,FALSE
Name knows what that child that was n't talking about Name should bike to *T* .,-33.43362298930015,-534.9379678288024,good,wh_vs_that_with_gap_long_distance,112,syntax,filler_gap_dependency,trigram6,-33.43362298930015,-33.43362298930015,FALSE
Name knows that that child that was n't talking about Name should bike to *T* .,-33.58473764626079,-537.3558023401727,bad,wh_vs_that_with_gap_long_distance,112,syntax,filler_gap_dependency,trigram7,-33.58473764626079,-33.58473764626079,FALSE
Name knows what that child that was n't talking about Name should bike to *T* .,-33.58473764626079,-537.3558023401727,good,wh_vs_that_with_gap_long_distance,112,syntax,filler_gap_dependency,trigram7,-33.58473764626079,-33.58473764626079,FALSE
Name knows that that child that was n't talking about Name should bike to *T* .,-33.451588714054665,-535.2254194248746,bad,wh_vs_that_with_gap_long_distance,112,syntax,filler_gap_dependency,trigram8,-33.451588714054665,-33.451588714054665,FALSE
Name knows what that child that was n't talking about Name should bike to *T* .,-33.451588714054665,-535.2254194248746,good,wh_vs_that_with_gap_long_distance,112,syntax,filler_gap_dependency,trigram8,-33.451588714054665,-33.451588714054665,FALSE
Name knows that that child that was n't talking about Name should bike to *T* .,-33.61463707511258,-537.8341932018013,bad,wh_vs_that_with_gap_long_distance,112,syntax,filler_gap_dependency,trigram9,-33.61463707511258,-33.61463707511258,FALSE
Name knows what that child that was n't talking about Name should bike to *T* .,-33.61463707511258,-537.8341932018013,good,wh_vs_that_with_gap_long_distance,112,syntax,filler_gap_dependency,trigram9,-33.61463707511258,-33.61463707511258,FALSE
Name can n't find out who that movie that should win can n't sound like *T* .,-33.4206691401795,-568.1513753830515,good,wh_vs_that_with_gap_long_distance,427,syntax,filler_gap_dependency,trigram1,-33.4206691401795,-33.4206691401795,FALSE
Name can n't find out that that movie that should win can n't sound like *T* .,-33.4206691401795,-568.1513753830515,bad,wh_vs_that_with_gap_long_distance,427,syntax,filler_gap_dependency,trigram1,-33.4206691401795,-33.4206691401795,FALSE
Name can n't find out who that movie that should win can n't sound like *T* .,-33.32067757979509,-566.4515188565165,good,wh_vs_that_with_gap_long_distance,427,syntax,filler_gap_dependency,trigram10,-33.32067757979509,-33.32067757979509,FALSE
Name can n't find out that that movie that should win can n't sound like *T* .,-33.32067757979509,-566.4515188565165,bad,wh_vs_that_with_gap_long_distance,427,syntax,filler_gap_dependency,trigram10,-33.32067757979509,-33.32067757979509,FALSE
Name can n't find out who that movie that should win can n't sound like *T* .,-33.23694064827466,-565.0279910206692,good,wh_vs_that_with_gap_long_distance,427,syntax,filler_gap_dependency,trigram2,-33.23694064827466,-33.23694064827466,FALSE
Name can n't find out that that movie that should win can n't sound like *T* .,-33.23694064827466,-565.0279910206692,bad,wh_vs_that_with_gap_long_distance,427,syntax,filler_gap_dependency,trigram2,-33.23694064827466,-33.23694064827466,FALSE
Name can n't find out who that movie that should win can n't sound like *T* .,-33.243094090496214,-565.1325995384357,good,wh_vs_that_with_gap_long_distance,427,syntax,filler_gap_dependency,trigram3,-33.243094090496214,-33.243094090496214,FALSE
