Sentence,LenFacScore,Score,GoodBad,Filename,pair_id,field,linguistics_term,Grammar,good_score,bad_score,correct_pair
Name does think about some cup that that print would n't look like *T* .,-19.066441949923664,-305.06307119877863,good,wh_questions_object_gap,134,syntax,filler_gap_dependency,bigram1,-19.066441949923664,-19.0659129606889,FALSE
Name does think about what that print would n't look like some cup .,-19.0659129606889,-285.98869441033355,bad,wh_questions_object_gap,134,syntax,filler_gap_dependency,bigram1,-19.066441949923664,-19.0659129606889,FALSE
Name does think about some cup that that print would n't look like *T* .,-19.30388139980049,-308.86210239680787,good,wh_questions_object_gap,134,syntax,filler_gap_dependency,bigram10,-19.30388139980049,-19.276100300692352,FALSE
Name does think about what that print would n't look like some cup .,-19.276100300692352,-289.1415045103853,bad,wh_questions_object_gap,134,syntax,filler_gap_dependency,bigram10,-19.30388139980049,-19.276100300692352,FALSE
Name does think about some cup that that print would n't look like *T* .,-19.257077926170453,-308.11324681872725,good,wh_questions_object_gap,134,syntax,filler_gap_dependency,bigram2,-19.257077926170453,-19.15722994981366,FALSE
Name does think about what that print would n't look like some cup .,-19.15722994981366,-287.35844924720493,bad,wh_questions_object_gap,134,syntax,filler_gap_dependency,bigram2,-19.257077926170453,-19.15722994981366,FALSE
Name does think about some cup that that print would n't look like *T* .,-19.253911113201788,-308.0625778112286,good,wh_questions_object_gap,134,syntax,filler_gap_dependency,bigram3,-19.253911113201788,-19.07154542726848,FALSE
Name does think about what that print would n't look like some cup .,-19.07154542726848,-286.07318140902726,bad,wh_questions_object_gap,134,syntax,filler_gap_dependency,bigram3,-19.253911113201788,-19.07154542726848,FALSE
Name does think about some cup that that print would n't look like *T* .,-19.296297787729458,-308.7407646036713,good,wh_questions_object_gap,134,syntax,filler_gap_dependency,bigram4,-19.296297787729458,-19.110056255583565,FALSE
Name does think about what that print would n't look like some cup .,-19.110056255583565,-286.65084383375347,bad,wh_questions_object_gap,134,syntax,filler_gap_dependency,bigram4,-19.296297787729458,-19.110056255583565,FALSE
Name does think about some cup that that print would n't look like *T* .,-19.268984688794852,-308.3037550207177,good,wh_questions_object_gap,134,syntax,filler_gap_dependency,bigram5,-19.268984688794852,-19.120853862352934,FALSE
Name does think about what that print would n't look like some cup .,-19.120853862352934,-286.8128079352941,bad,wh_questions_object_gap,134,syntax,filler_gap_dependency,bigram5,-19.268984688794852,-19.120853862352934,FALSE
Name does think about some cup that that print would n't look like *T* .,-19.17729439356711,-306.83671029707375,good,wh_questions_object_gap,134,syntax,filler_gap_dependency,bigram6,-19.17729439356711,-19.034762408276507,FALSE
Name does think about what that print would n't look like some cup .,-19.034762408276507,-285.5214361241476,bad,wh_questions_object_gap,134,syntax,filler_gap_dependency,bigram6,-19.17729439356711,-19.034762408276507,FALSE
Name does think about some cup that that print would n't look like *T* .,-19.23688779780827,-307.7902047649323,good,wh_questions_object_gap,134,syntax,filler_gap_dependency,bigram7,-19.23688779780827,-19.13812138919003,FALSE
Name does think about what that print would n't look like some cup .,-19.13812138919003,-287.07182083785045,bad,wh_questions_object_gap,134,syntax,filler_gap_dependency,bigram7,-19.23688779780827,-19.13812138919003,FALSE
Name does think about some cup that that print would n't look like *T* .,-19.22856305947545,-307.6570089516073,good,wh_questions_object_gap,134,syntax,filler_gap_dependency,bigram8,-19.22856305947545,-19.05666064228756,FALSE
Name does think about what that print would n't look like some cup .,-19.05666064228756,-285.84990963431335,bad,wh_questions_object_gap,134,syntax,filler_gap_dependency,bigram8,-19.22856305947545,-19.05666064228756,FALSE
Name does think about some cup that that print would n't look like *T* .,-19.247233392178,-307.95573427484794,good,wh_questions_object_gap,134,syntax,filler_gap_dependency,bigram9,-19.247233392178,-19.054981852768694,FALSE
Name does think about what that print would n't look like some cup .,-19.054981852768694,-285.82472779153045,bad,wh_questions_object_gap,134,syntax,filler_gap_dependency,bigram9,-19.247233392178,-19.054981852768694,FALSE
a driver has thought about those deer that many pictures look like *T* .,-19.98902793291437,-299.83541899371556,good,wh_questions_object_gap,3,syntax,filler_gap_dependency,bigram1,-19.98902793291437,-20.494746551827884,TRUE
a driver has thought about what many pictures look like those deer .,-20.494746551827884,-286.92645172559037,bad,wh_questions_object_gap,3,syntax,filler_gap_dependency,bigram1,-19.98902793291437,-20.494746551827884,TRUE
a driver has thought about those deer that many pictures look like *T* .,-19.806466812686725,-297.0970021903009,good,wh_questions_object_gap,3,syntax,filler_gap_dependency,bigram10,-19.806466812686725,-20.39027622465205,TRUE
a driver has thought about what many pictures look like those deer .,-20.39027622465205,-285.46386714512875,bad,wh_questions_object_gap,3,syntax,filler_gap_dependency,bigram10,-19.806466812686725,-20.39027622465205,TRUE
a driver has thought about those deer that many pictures look like *T* .,-19.98001092711114,-299.7001639066671,good,wh_questions_object_gap,3,syntax,filler_gap_dependency,bigram2,-19.98001092711114,-20.61412594261589,TRUE
a driver has thought about what many pictures look like those deer .,-20.61412594261589,-288.59776319662245,bad,wh_questions_object_gap,3,syntax,filler_gap_dependency,bigram2,-19.98001092711114,-20.61412594261589,TRUE
a driver has thought about those deer that many pictures look like *T* .,-19.939307556447535,-299.08961334671307,good,wh_questions_object_gap,3,syntax,filler_gap_dependency,bigram3,-19.939307556447535,-20.49589766342325,TRUE
a driver has thought about what many pictures look like those deer .,-20.49589766342325,-286.9425672879255,bad,wh_questions_object_gap,3,syntax,filler_gap_dependency,bigram3,-19.939307556447535,-20.49589766342325,TRUE
a driver has thought about those deer that many pictures look like *T* .,-19.88056550858649,-298.20848262879736,good,wh_questions_object_gap,3,syntax,filler_gap_dependency,bigram4,-19.88056550858649,-20.473027685491097,TRUE
a driver has thought about what many pictures look like those deer .,-20.473027685491097,-286.62238759687534,bad,wh_questions_object_gap,3,syntax,filler_gap_dependency,bigram4,-19.88056550858649,-20.473027685491097,TRUE
a driver has thought about those deer that many pictures look like *T* .,-19.92376614247,-298.85649213705,good,wh_questions_object_gap,3,syntax,filler_gap_dependency,bigram5,-19.92376614247,-20.63323331366353,TRUE
a driver has thought about what many pictures look like those deer .,-20.63323331366353,-288.8652663912894,bad,wh_questions_object_gap,3,syntax,filler_gap_dependency,bigram5,-19.92376614247,-20.63323331366353,TRUE
