Sentence,LenFacScore,Score,predicted_sent,logprobs,GoodBad,Filename,pair_id,field,linguistics_term,Grammar,good_score,bad_score,correct_pair
Name knows that that child that was n't talking about Name should bike to *T* .,-5.897650718688965,-100.26006317138672,"what , . 's 's END 's a END *T* that . you . you .","[-3.038832426071167, -13.179373741149902, -5.542210102081299, -5.749982833862305, -15.500910758972168, -5.293764114379883, -2.8832101821899414, -2.04628324508667, -7.973130702972412, -2.925319194793701, -1.5743393898010254, -11.41286563873291, -13.066617965698242, -6.852713108062744, -3.1407063007354736, -0.07962560653686523, -0.0001802282058633864]",bad,wh_vs_that_with_gap_long_distance,112,syntax,filler_gap_dependency,sample1,-6.124491691589356,-5.897650718688965,FALSE
Name knows what that child that was n't talking about Name should bike to *T* .,-6.124491691589356,-104.1163558959961,"what , . ? is is *T* *T* *T* *T* *T* *T* *T* *T* *T* .","[-3.038832426071167, -13.179373741149902, -2.9760842323303223, -6.501190185546875, -15.585882186889648, -6.386359691619873, -2.3968870639801025, -5.310431003570557, -8.300268173217773, -3.26737117767334, -2.630704164505005, -12.053829193115234, -13.980768203735352, -7.082146167755127, -1.339849591255188, -0.08620386570692062, -0.0001691436773398891]",good,wh_vs_that_with_gap_long_distance,112,syntax,filler_gap_dependency,sample1,-6.124491691589356,-5.897650718688965,FALSE
Name knows that that child that was n't talking about Name should bike to *T* .,-5.701658725738525,-96.9281997680664,"what , that 's 's *T* *T* *T* *T* to *T* and END . be .","[-3.5443806648254395, -10.598404884338379, -2.3981564044952393, -5.39217472076416, -14.195775985717773, -6.392635822296143, -4.152193069458008, -2.623523235321045, -8.4700927734375, -2.9812192916870117, -3.232656955718994, -10.450658798217773, -12.469999313354492, -5.755831718444824, -4.253420352935791, -0.016730476170778275, -0.0003502947511151433]",bad,wh_vs_that_with_gap_long_distance,112,syntax,filler_gap_dependency,sample10,-6.650510787963867,-5.701658725738525,FALSE
Name knows what that child that was n't talking about Name should bike to *T* .,-6.650510787963867,-113.05868530273438,"what , that ? is *T* *T* *T* *T* *T* *T* *T* *T* *T* *T* .","[-3.5443806648254395, -10.598404884338379, -2.410003900527954, -4.517662048339844, -14.30078411102295, -8.22066879272461, -6.770676612854004, -7.0654072761535645, -11.56412410736084, -4.818153381347656, -5.890670299530029, -10.903285026550293, -14.179535865783691, -7.168734073638916, -0.8977316617965698, -0.2080879509449005, -0.00036054308293387294]",good,wh_vs_that_with_gap_long_distance,112,syntax,filler_gap_dependency,sample10,-6.650510787963867,-5.701658725738525,FALSE
Name knows that that child that was n't talking about Name should bike to *T* .,-5.894662380218506,-100.20925903320312,"what , you 's 's . *T* the *T* . the . . . . .","[-3.3328781127929688, -10.31534194946289, -2.241809844970703, -5.799757957458496, -13.672981262207031, -3.91275691986084, -3.9347410202026367, -2.763775110244751, -7.932319641113281, -2.5590364933013916, -2.192363739013672, -9.74409294128418, -15.054428100585938, -10.46147346496582, -6.240165710449219, -0.05104109272360802, -0.0003026265767402947]",bad,wh_vs_that_with_gap_long_distance,112,syntax,filler_gap_dependency,sample2,-5.870799064636231,-5.894662380218506,TRUE
Name knows what that child that was n't talking about Name should bike to *T* .,-5.870799064636231,-99.80358123779297,"what , you ? is is *T* *T* *T* ? the . . . Name .","[-3.3328781127929688, -10.31534194946289, -2.5706233978271484, -4.240121841430664, -15.258965492248535, -4.679909706115723, -4.525699615478516, -4.624895095825195, -8.952402114868164, -1.8771052360534668, -1.8751156330108643, -9.055580139160156, -13.536067008972168, -9.496302604675293, -5.352015495300293, -0.11031101644039154, -0.00024470672360621393]",good,wh_vs_that_with_gap_long_distance,112,syntax,filler_gap_dependency,sample2,-5.870799064636231,-5.894662380218506,TRUE
Name knows that that child that was n't talking about Name should bike to *T* .,-5.973819732666016,-101.554931640625,what . . . 's . *T* *T* . to to . . . . .,"[-3.209115743637085, -13.148283958435059, -1.6390668153762817, -7.173976898193359, -13.509360313415527, -5.799194812774658, -3.1422739028930664, -3.035102367401123, -7.791182518005371, -2.946354627609253, -1.9736632108688354, -11.642210006713867, -13.220222473144531, -6.335529327392578, -6.983608245849609, -0.005546418949961662, -0.00023469554434996098]",bad,wh_vs_that_with_gap_long_distance,112,syntax,filler_gap_dependency,sample3,-5.906013011932373,-5.973819732666016,TRUE
Name knows what that child that was n't talking about Name should bike to *T* .,-5.906013011932373,-100.4022216796875,what . . ? is ? *T* *T* *T* *T* *T* *T* *T* ? Name .,"[-3.209115743637085, -13.148283958435059, -3.7587451934814453, -3.850407600402832, -14.986899375915527, -6.295968055725098, -5.15798807144165, -6.257972240447998, -8.592849731445312, -2.943754196166992, -2.813441276550293, -10.622097969055176, -11.185325622558594, -3.613111972808838, -3.396118402481079, -0.5699531435966492, -0.00018869050836656243]",good,wh_vs_that_with_gap_long_distance,112,syntax,filler_gap_dependency,sample3,-5.906013011932373,-5.973819732666016,TRUE
Name knows that that child that was n't talking about Name should bike to *T* .,-5.288007736206055,-89.89613342285156,"what , that . is ? *T* *T* *T* *T* *T* . *T* *T* *T* .","[-3.3675284385681152, -10.480596542358398, -1.0211292505264282, -5.53999662399292, -12.766862869262695, -6.607085227966309, -3.994980573654175, -3.278304100036621, -9.897358894348145, -5.179518699645996, -1.717582106590271, -10.029884338378906, -10.723794937133789, -3.654592275619507, -1.5218918323516846, -0.11483927071094513, -0.00018976318824570626]",bad,wh_vs_that_with_gap_long_distance,112,syntax,filler_gap_dependency,sample4,-6.709852695465088,-5.288007736206055,FALSE
Name knows what that child that was n't talking about Name should bike to *T* .,-6.709852695465088,-114.06749725341797,"what , that ? is *T* *T* *T* *T* *T* *T* *T* *T* *T* *T* .","[-3.3675284385681152, -10.480596542358398, -2.430828094482422, -2.8901963233947754, -14.237565040588379, -7.470921516418457, -5.5809006690979, -7.86745023727417, -12.145904541015625, -7.7104105949401855, -5.556395053863525, -11.973069190979004, -13.29963207244873, -7.711911678314209, -0.19316311180591583, -1.1508015394210815, -0.00022551853908225894]",good,wh_vs_that_with_gap_long_distance,112,syntax,filler_gap_dependency,sample4,-6.709852695465088,-5.288007736206055,FALSE
Name knows that that child that was n't talking about Name should bike to *T* .,-5.695426940917969,-96.82225799560547,"what , . . you END *T* *T* *T* to *T* . . . END .","[-2.9871325492858887, -10.931950569152832, -4.271603584289551, -5.566188812255859, -14.799286842346191, -7.664209365844727, -2.1042556762695312, -3.599848985671997, -7.147053241729736, -3.0528883934020996, -2.698427677154541, -10.242026329040527, -12.792045593261719, -6.065945625305176, -2.778873920440674, -0.12032875418663025, -0.00018940561858471483]",bad,wh_vs_that_with_gap_long_distance,112,syntax,filler_gap_dependency,sample5,-6.8793721199035645,-5.695426940917969,FALSE
Name knows what that child that was n't talking about Name should bike to *T* .,-6.8793721199035645,-116.94932556152344,"what , . ? is *T* *T* *T* *T* *T* *T* *T* *T* *T* *T* .","[-2.9871325492858887, -10.931950569152832, -4.034761428833008, -3.9639976024627686, -15.908605575561523, -7.382787704467773, -4.043970584869385, -8.783187866210938, -10.531217575073242, -4.539374828338623, -6.343076229095459, -12.585782051086426, -15.169096946716309, -8.741098403930664, -0.45049363374710083, -0.5526293516159058, -0.00017236177518498152]",good,wh_vs_that_with_gap_long_distance,112,syntax,filler_gap_dependency,sample5,-6.8793721199035645,-5.695426940917969,FALSE
Name knows that that child that was n't talking about Name should bike to *T* .,-5.885926723480225,-100.06075286865234,"what , you . 's . . *T* *T* about Name *T* be . END .","[-3.349701166152954, -11.122843742370605, -4.09967565536499, -7.195466041564941, -15.586602210998535, -5.142365455627441, -4.0174880027771, -2.9306249618530273, -9.280651092529297, -0.9747347235679626, -1.386328935623169, -8.294316291809082, -15.262100219726562, -7.495774745941162, -3.886654853820801, -0.03496330603957176, -0.0004573014739435166]",bad,wh_vs_that_with_gap_long_distance,112,syntax,filler_gap_dependency,sample6,-6.562613487243652,-5.885926723480225,FALSE
Name knows what that child that was n't talking about Name should bike to *T* .,-6.562613487243652,-111.5644302368164,"what , you ? is *T* *T* *T* *T* *T* *T* *T* *T* ? *T* ?","[-3.349701166152954, -11.122843742370605, -2.906869411468506, -5.126918315887451, -16.41158676147461, -5.425684452056885, -5.510432243347168, -7.008049964904785, -11.321965217590332, -1.8043272495269775, -2.434514045715332, -9.673604011535645, -16.71698760986328, -7.8252482414245605, -1.5686018466949463, -3.356567144393921, -0.0005315321614034474]",good,wh_vs_that_with_gap_long_distance,112,syntax,filler_gap_dependency,sample6,-6.562613487243652,-5.885926723480225,FALSE
Name knows that that child that was n't talking about Name should bike to *T* .,-5.4818220138549805,-93.19097137451172,"what , that . you Name *T* *T* *T* to *T* *T* END ? *T* .","[-3.405649185180664, -12.006499290466309, -1.3500980138778687, -6.027409553527832, -16.288047790527344, -4.0675835609436035, -4.670746803283691, -4.913492202758789, -9.940993309020996, -1.8411850929260254, -2.0328965187072754, -7.973958969116211, -12.35558795928955, -4.396061897277832, -1.3688384294509888, -0.5516826510429382, -0.0002469711471349001]",bad,wh_vs_that_with_gap_long_distance,112,syntax,filler_gap_dependency,sample7,-6.170102596282959,-5.4818220138549805,FALSE
Name knows what that child that was n't talking about Name should bike to *T* .,-6.170102596282959,-104.8917465209961,"what , that ? is you *T* *T* *T* *T* *T* *T* *T* *T* *T* ?","[-3.405649185180664, -12.006499290466309, -1.4972213506698608, -3.129823684692383, -15.83033275604248, -4.051641941070557, -5.405129909515381, -8.291773796081543, -12.561159133911133, -3.0963759422302246, -4.989177703857422, -9.63074016571045, -13.525504112243652, -5.7299485206604, -0.1844179779291153, -1.5560264587402344, -0.0003240775258745998]",good,wh_vs_that_with_gap_long_distance,112,syntax,filler_gap_dependency,sample7,-6.170102596282959,-5.4818220138549805,FALSE
Name knows that that child that was n't talking about Name should bike to *T* .,-5.984910011291504,-101.74346923828125,"what , . . 's . . a . to the . . . the .","[-3.1054515838623047, -11.379688262939453, -2.996706008911133, -6.37965202331543, -13.072317123413086, -7.0064287185668945, -4.204836845397949, -4.3564958572387695, -8.296344757080078, -2.8288090229034424, -2.1884236335754395, -10.661521911621094, -13.572500228881836, -6.186405181884766, -5.484256744384766, -0.023326857015490532, -0.0003070359816774726]",bad,wh_vs_that_with_gap_long_distance,112,syntax,filler_gap_dependency,sample8,-6.426564693450928,-5.984910011291504,FALSE
Name knows what that child that was n't talking about Name should bike to *T* .,-6.426564693450928,-109.25160217285156,"what , . ? is *T* *T* *T* *T* *T* *T* *T* *T* *T* *T* .","[-3.1054515838623047, -11.379688262939453, -2.2752156257629395, -3.2758936882019043, -14.801229476928711, -6.2704010009765625, -5.247354030609131, -8.247803688049316, -10.281038284301758, -3.464787244796753, -4.5401997566223145, -13.019214630126953, -14.738083839416504, -7.417116641998291, -0.8249083161354065, -0.36301785707473755, -0.00019762947340495884]",good,wh_vs_that_with_gap_long_distance,112,syntax,filler_gap_dependency,sample8,-6.426564693450928,-5.984910011291504,FALSE
Name knows that that child that was n't talking about Name should bike to *T* .,-5.690776824951172,-96.74320220947266,"what , Name . 's 's you n't screaming to *T* . *T* . the .","[-3.224195957183838, -10.587092399597168, -4.100912570953369, -6.939568519592285, -15.602313995361328, -7.864876747131348, -2.186298370361328, -1.503288984298706, -8.085943222045898, -2.6555895805358887, -1.9322370290756226, -8.696615219116211, -13.678865432739258, -6.226654052734375, -3.4287991523742676, -0.029664669185876846, -0.0002910667099058628]",bad,wh_vs_that_with_gap_long_distance,112,syntax,filler_gap_dependency,sample9,-6.957714080810547,-5.690776824951172,FALSE
Name knows what that child that was n't talking about Name should bike to *T* .,-6.957714080810547,-118.28114318847656,"what , Name ? is *T* *T* *T* *T* *T* *T* *T* *T* *T* *T* .","[-3.224195957183838, -10.587092399597168, -1.6584633588790894, -5.104459762573242, -16.379905700683594, -8.415375709533691, -5.298759460449219, -6.488927364349365, -11.013385772705078, -5.899907112121582, -6.481986999511719, -10.92963981628418, -16.76470947265625, -9.155348777770996, -0.547415554523468, -0.3312233090400696, -0.00034397884155623615]",good,wh_vs_that_with_gap_long_distance,112,syntax,filler_gap_dependency,sample9,-6.957714080810547,-5.690776824951172,FALSE
Name can n't find out who that movie that should win can n't sound like *T* .,-5.107203960418701,-91.92967224121094,"what , n't ride the of *T* *T* *T* *T* *T* *T* *T* *T* *T* *T* .","[-3.038832426071167, -5.5993971824646, -1.4186298847198486, -5.687851905822754, -5.676177978515625, -5.613841533660889, -5.236540794372559, -7.620317459106445, -3.314845323562622, -10.120929718017578, -8.516427993774414, -12.39428424835205, -5.7589497566223145, -8.235243797302246, -3.3715131282806396, -0.2423064261674881, -0.08344881981611252, -0.00013422065239865333]",good,wh_vs_that_with_gap_long_distance,427,syntax,filler_gap_dependency,sample1,-5.107203960418701,-4.760854721069336,FALSE
