Sentence,WUGgedSentence,Score,LenFacScore,CleanedParse,GoodBad,Filename,pair_id,field,linguistics_term,Grammar,good_score,bad_score,correct_pair
whose hat should Name wear ?,whose hat should Name wear ?,-34.844083266759675,-5.807347211126612,(ROOT (WHNP (WP$ _whose) (NN _hat)) (SQ (MD _should) (NP _Name) (VP _wear)) (P_? _?)),good,left_branch_island_simple_question,1,syntax,island_effects,sample1.0.FG-output.rank-1,-5.807347211126612,-6.071382961684414,TRUE
whose should Name wear hat ?,whose should Name wear hat ?,-36.42829777010648,-6.071382961684414,(ROOT (WHNP _whose) (SQ (MD _should) (NP _Name) (VP (P_wear _wear) (NP _hat))) (P_? _?)),bad,left_branch_island_simple_question,1,syntax,island_effects,sample1.0.FG-output.rank-1,-5.807347211126612,-6.071382961684414,TRUE
whose hat should Name wear ?,whose hat should Name wear ?,-35.78802631618062,-5.96467105269677,(ROOT (WHNP (WP$ _whose) (NN _hat)) (SQ (MD _should) (NP _Name) (VB _wear) (P_? _?))),good,left_branch_island_simple_question,1,syntax,island_effects,sample10.0.FG-output.rank-1,-5.96467105269677,-6.871476222841477,TRUE
whose should Name wear hat ?,whose should Name wear hat ?,-41.228857337048865,-6.871476222841477,(ROOT (WHNP _whose) (MD _should) (NP _Name) (VP (VB _wear) (NP _hat)) (. _?)),bad,left_branch_island_simple_question,1,syntax,island_effects,sample10.0.FG-output.rank-1,-5.96467105269677,-6.871476222841477,TRUE
whose hat should Name wear ?,whose hat should Name wear ?,-35.669717685212866,-5.944952947535477,(ROOT (WHNP (P_whose _whose) (NN _hat)) (SQ (MD _should) (NP _Name) (VP _wear)) (P_? _?)),good,left_branch_island_simple_question,1,syntax,island_effects,sample2.0.FG-output.rank-1,-5.944952947535477,-6.434736109510097,TRUE
whose should Name wear hat ?,whose should Name wear hat ?,-38.60841665706058,-6.434736109510097,(ROOT (WHNP _whose) (SQ (MD _should) (NP _Name) (VP (VB _wear) (NN _hat))) (P_? _?)),bad,left_branch_island_simple_question,1,syntax,island_effects,sample2.0.FG-output.rank-1,-5.944952947535477,-6.434736109510097,TRUE
whose hat should Name wear ?,whose hat should Name wear ?,-33.78493772364647,-5.630822953941078,(ROOT (WHNP (P_whose _whose) (NN _hat)) (SQ (MD _should) (NP _Name) (VP _wear)) (P_? _?)),good,left_branch_island_simple_question,1,syntax,island_effects,sample3.0.FG-output.rank-1,-5.630822953941078,-6.255794341095446,TRUE
whose should Name wear hat ?,whose should Name wear hat ?,-37.53476604657268,-6.255794341095446,(ROOT (WHNP _whose) (SQ (MD _should) (NP _Name) (VP (VB _wear) (NN _hat))) (P_? _?)),bad,left_branch_island_simple_question,1,syntax,island_effects,sample3.0.FG-output.rank-1,-5.630822953941078,-6.255794341095446,TRUE
whose hat should Name wear ?,whose hat should Name wear ?,-36.316389846962295,-6.052731641160382,(ROOT (WHNP (P_whose _whose) (NN _hat)) (SQ (MD _should) (NP _Name) (VP _wear)) (P_? _?)),good,left_branch_island_simple_question,1,syntax,island_effects,sample4.0.FG-output.rank-1,-6.052731641160382,-6.2786797580386,TRUE
whose should Name wear hat ?,whose should Name wear hat ?,-37.6720785482316,-6.2786797580386,(ROOT (WHNP _whose) (SQ (MD _should) (NP _Name) (VP (P_wear _wear) (NP _hat))) (P_? _?)),bad,left_branch_island_simple_question,1,syntax,island_effects,sample4.0.FG-output.rank-1,-6.052731641160382,-6.2786797580386,TRUE
whose hat should Name wear ?,whose hat should Name wear ?,-38.525490030026205,-6.420915005004368,(ROOT (WHNP (WP$ _whose) (NN _hat)) (SQ (MD _should) (NP _Name) (VP _wear) (P_? _?))),good,left_branch_island_simple_question,1,syntax,island_effects,sample5.0.FG-output.rank-1,-6.420915005004368,-7.054793594861842,TRUE
whose should Name wear hat ?,whose should Name wear hat ?,-42.32876156917105,-7.054793594861842,(ROOT (WHNP _whose) (SQ (MD _should) (NP _Name) (VP (VB _wear) (NN _hat)) (P_? _?))),bad,left_branch_island_simple_question,1,syntax,island_effects,sample5.0.FG-output.rank-1,-6.420915005004368,-7.054793594861842,TRUE
whose hat should Name wear ?,whose hat should Name wear ?,-36.067074150098556,-6.011179025016426,(ROOT (WHNP (P_whose _whose) (NN _hat)) (SQ (MD _should) (NP _Name) (VP _wear)) (P_? _?)),good,left_branch_island_simple_question,1,syntax,island_effects,sample6.0.FG-output.rank-1,-6.011179025016426,-6.636806140483362,TRUE
whose should Name wear hat ?,whose should Name wear hat ?,-39.82083684290017,-6.636806140483362,(ROOT (WHNP _whose) (SQ (MD _should) (NP _Name) (VP (VB _wear) (NN _hat))) (P_? _?)),bad,left_branch_island_simple_question,1,syntax,island_effects,sample6.0.FG-output.rank-1,-6.011179025016426,-6.636806140483362,TRUE
whose hat should Name wear ?,whose hat should Name wear ?,-34.402743629873605,-5.7337906049789344,(ROOT (WHNP (WP$ _whose) (NN _hat)) (SQ (MD _should) (NP _Name) (VP _wear)) (P_? _?)),good,left_branch_island_simple_question,1,syntax,island_effects,sample7.0.FG-output.rank-1,-5.7337906049789344,-6.460386559232801,TRUE
whose should Name wear hat ?,whose should Name wear hat ?,-38.762319355396805,-6.460386559232801,(ROOT (WHNP _whose) (SQ (MD _should) (NP _Name) (VP (VB _wear) (NN _hat))) (P_? _?)),bad,left_branch_island_simple_question,1,syntax,island_effects,sample7.0.FG-output.rank-1,-5.7337906049789344,-6.460386559232801,TRUE
whose hat should Name wear ?,whose hat should Name wear ?,-35.753564153514546,-5.958927358919091,(ROOT (WHNP (P_whose _whose) (NN _hat)) (SQ (MD _should) (NP _Name) (VP _wear)) (P_? _?)),good,left_branch_island_simple_question,1,syntax,island_effects,sample8.0.FG-output.rank-1,-5.958927358919091,-6.627831930968672,TRUE
whose should Name wear hat ?,whose should Name wear hat ?,-39.766991585812036,-6.627831930968672,(ROOT (WHNP _whose) (SQ (MD _should) (NP _Name) (VP (P_wear _wear) (NP _hat))) (P_? _?)),bad,left_branch_island_simple_question,1,syntax,island_effects,sample8.0.FG-output.rank-1,-5.958927358919091,-6.627831930968672,TRUE
whose hat should Name wear ?,whose hat should Name wear ?,-35.46263048716755,-5.910438414527925,(ROOT (WHNP (WP$ _whose) (NN _hat)) (SQ (MD _should) (NP _Name) (VP _wear)) (P_? _?)),good,left_branch_island_simple_question,1,syntax,island_effects,sample9.0.FG-output.rank-1,-5.910438414527925,-6.1818366953530886,TRUE
whose should Name wear hat ?,whose should Name wear hat ?,-37.09102017211853,-6.1818366953530886,(ROOT (WHNP _whose) (SQ (MD _should) (NP _Name) (VP (P_wear _wear) (NP _hat))) (P_? _?)),bad,left_branch_island_simple_question,1,syntax,island_effects,sample9.0.FG-output.rank-1,-5.910438414527925,-6.1818366953530886,TRUE
