Sentence,WUGgedSentence,Score,LenFacScore,CleanedParse,GoodBad,Filename,pair_id,field,linguistics_term,Grammar,good_score,bad_score,correct_pair
the cars roll .,the cars roll .,-22.993467986209875,-5.748366996552469,(ROOT (NP (P_the _the) (NNS _cars)) (VBP _roll) (. _.)),good,inchoative,146,syntax,argument_structure,sample1.0.FG-output.rank-1,-5.748366996552469,-5.525966022557507,FALSE
the cars looked like .,the cars looked like .,-27.629830112787538,-5.525966022557507,(ROOT (NP (P_the _the) (NNS _cars)) (VP (P_looked _looked) (PP _like)) (P_. _.)),bad,inchoative,146,syntax,argument_structure,sample1.0.FG-output.rank-1,-5.748366996552469,-5.525966022557507,FALSE
the cars roll .,the cars roll .,-24.067861496294324,-6.016965374073581,(ROOT (NP (P_the _the) (NNS _cars)) (VP _roll) (P_. _.)),good,inchoative,146,syntax,argument_structure,sample10.0.FG-output.rank-1,-6.016965374073581,-5.990498018086373,FALSE
the cars looked like .,the cars looked like .,-29.952490090431866,-5.990498018086373,(ROOT (NP (P_the _the) (NNS _cars)) (VP (VBD _looked) (PP _like)) (P_. _.)),bad,inchoative,146,syntax,argument_structure,sample10.0.FG-output.rank-1,-6.016965374073581,-5.990498018086373,FALSE
the cars roll .,the cars roll .,-25.20778411572911,-6.301946028932277,(ROOT (NP (P_the _the) (NNS _cars)) (VP _roll) (P_. _.)),good,inchoative,146,syntax,argument_structure,sample2.0.FG-output.rank-1,-6.301946028932277,-6.05922792941335,FALSE
the cars looked like .,the cars looked like .,-30.29613964706675,-6.05922792941335,(ROOT (NP (P_the _the) (NNS _cars)) (VP (VBD _looked) (PP _like)) (P_. _.)),bad,inchoative,146,syntax,argument_structure,sample2.0.FG-output.rank-1,-6.301946028932277,-6.05922792941335,FALSE
the cars roll .,the cars roll .,-24.36846673367622,-6.092116683419055,(ROOT (NP (P_the _the) (NNS _cars)) (VP _roll) (P_. _.)),good,inchoative,146,syntax,argument_structure,sample3.0.FG-output.rank-1,-6.092116683419055,-5.910161440024458,FALSE
the cars looked like .,the cars looked like .,-29.550807200122293,-5.910161440024458,(ROOT (NP (P_the _the) (NNS _cars)) (VP (VBD _looked) (PP _like)) (P_. _.)),bad,inchoative,146,syntax,argument_structure,sample3.0.FG-output.rank-1,-6.092116683419055,-5.910161440024458,FALSE
the cars roll .,the cars roll .,-24.890881543372565,-6.222720385843141,(ROOT (NP (P_the _the) (NNS _cars)) (VP _roll) (P_. _.)),good,inchoative,146,syntax,argument_structure,sample4.0.FG-output.rank-1,-6.222720385843141,-5.615709357292483,FALSE
the cars looked like .,the cars looked like .,-28.078546786462418,-5.615709357292483,(ROOT (NP (P_the _the) (NNS _cars)) (VP (P_looked _looked) (PP _like)) (P_. _.)),bad,inchoative,146,syntax,argument_structure,sample4.0.FG-output.rank-1,-6.222720385843141,-5.615709357292483,FALSE
