Sentence,WUGgedSentence,Score,LenFacScore,CleanedParse,GoodBad,Filename,pair_id,field,linguistics_term,Grammar,good_score,bad_score,correct_pair
what did n't Name figure out she did n't have *T* ?,what did n't Name figure out she did n't have *T* ?,-51.165491674763445,-4.263790972896953,(ROOT (WHNP _what) (SQ (AUX _did) (NOT _n't) (NP _Name) (VP (VB _figure) (PRT _out) (SBAR (NP _she) (VP (AUX _did) (NOT _n't) (VP (VB _have) (NP _*T*)))))) (. _?)),good,wh_island,166,syntax,island_effects,sample1_PCFG.0.FG-output.rank-1,-4.263790972896953,-4.257979221713192,FALSE
what did n't Name figure out who did n't have *T* ?,what did n't Name figure out who did n't have *T* ?,-51.095750660558295,-4.257979221713192,(ROOT (WHNP _what) (SQ (AUX _did) (NOT _n't) (NP _Name) (VP (VB _figure) (PRT _out) (SBAR (WHNP _who) (VP (AUX _did) (NOT _n't) (VP (VB _have) (NP _*T*)))))) (. _?)),bad,wh_island,166,syntax,island_effects,sample1_PCFG.0.FG-output.rank-1,-4.263790972896953,-4.257979221713192,FALSE
what did n't Name figure out she did n't have *T* ?,what did n't Name figure out she did n't have *T* ?,-49.24391697125761,-4.103659747604801,(ROOT (WHNP _what) (VP (AUX _did) (NOT _n't) (NP _Name) (VP (VB _figure) (PRT _out) (SBAR (NP _she) (VP (AUX _did) (NOT _n't) (VP (VB _have) (NP _*T*)))))) (. _?)),good,wh_island,166,syntax,island_effects,sample10_PCFG.0.FG-output.rank-1,-4.103659747604801,-4.156668417458462,TRUE
what did n't Name figure out who did n't have *T* ?,what did n't Name figure out who did n't have *T* ?,-49.88002100950155,-4.156668417458462,(ROOT (WHNP _what) (VP (AUX _did) (NOT _n't) (NP _Name) (VP (VB _figure) (PRT _out) (SBAR (WHNP _who) (S (AUX _did) (NOT _n't) (VP (VB _have) (NP _*T*)))))) (. _?)),bad,wh_island,166,syntax,island_effects,sample10_PCFG.0.FG-output.rank-1,-4.103659747604801,-4.156668417458462,TRUE
what did n't Name figure out she did n't have *T* ?,what did n't Name figure out she did n't have *T* ?,-51.53426666696574,-4.294522222247145,(ROOT (WHNP _what) (SQ (AUX _did) (NOT _n't) (NP _Name) (VP (VB _figure) (PP (IN _out) (NP _she) (VP (AUX _did) (NOT _n't) (VP (VB _have) (NP _*T*)))))) (. _?)),good,wh_island,166,syntax,island_effects,sample2_PCFG.0.FG-output.rank-1,-4.294522222247145,-4.278208141048127,FALSE
what did n't Name figure out who did n't have *T* ?,what did n't Name figure out who did n't have *T* ?,-51.338497692577526,-4.278208141048127,(ROOT (WHNP _what) (SQ (AUX _did) (NOT _n't) (NP _Name) (VP (VB _figure) (PRT _out) (SBAR (WHNP _who) (VP (AUX _did) (NOT _n't) (VP (VB _have) (NP _*T*)))))) (. _?)),bad,wh_island,166,syntax,island_effects,sample2_PCFG.0.FG-output.rank-1,-4.294522222247145,-4.278208141048127,FALSE
what did n't Name figure out she did n't have *T* ?,what did n't Name figure out she did n't have *T* ?,-50.60395788651852,-4.2169964905432105,(ROOT (WHNP _what) (SQ (AUX _did) (NOT _n't) (NP _Name) (VP (VB _figure) (PRT _out) (SBAR (NP _she) (VP (AUX _did) (NOT _n't) (VP (VB _have) (NP _*T*)))))) (. _?)),good,wh_island,166,syntax,island_effects,sample3_PCFG.0.FG-output.rank-1,-4.2169964905432105,-4.161366487194235,FALSE
what did n't Name figure out who did n't have *T* ?,what did n't Name figure out who did n't have *T* ?,-49.93639784633082,-4.161366487194235,(ROOT (WHNP _what) (SQ (AUX _did) (NOT _n't) (NP _Name) (VP (VB _figure) (PRT _out) (SBAR (WHNP _who) (VP (AUX _did) (NOT _n't) (VP (VB _have) (NP _*T*)))))) (. _?)),bad,wh_island,166,syntax,island_effects,sample3_PCFG.0.FG-output.rank-1,-4.2169964905432105,-4.161366487194235,FALSE
what did n't Name figure out she did n't have *T* ?,what did n't Name figure out she did n't have *T* ?,-50.35912818539003,-4.196594015449169,(ROOT (WHNP _what) (VP (AUX _did) (NOT _n't) (NP _Name) (VP (VB _figure) (PP (IN _out) (NP _she) (VP (AUX _did) (NOT _n't) (VP (VB _have) (NP _*T*)))))) (. _?)),good,wh_island,166,syntax,island_effects,sample4_PCFG.0.FG-output.rank-1,-4.196594015449169,-4.174373530968151,FALSE
what did n't Name figure out who did n't have *T* ?,what did n't Name figure out who did n't have *T* ?,-50.09248237161781,-4.174373530968151,(ROOT (WHNP _what) (VP (AUX _did) (NOT _n't) (NP _Name) (VP (VB _figure) (PRT _out) (SBAR (WHNP _who) (VP (AUX _did) (NOT _n't) (VP (VB _have) (NP _*T*)))))) (. _?)),bad,wh_island,166,syntax,island_effects,sample4_PCFG.0.FG-output.rank-1,-4.196594015449169,-4.174373530968151,FALSE
